"","X","Author","Study_Ref","Study_DOI","Exposure","Outcome","Instrument","Reported_Measure","Coeff_G_X","Coeff_G_X_SE","Coeff_G_Y","Coeff_G_Y_SE"
"1052",1052,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs144470864","OR",0.031491,0.00440913,0.0486,0.0956
"1053",1053,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs145692474","OR",-0.07928,0.0127252,-0.1171,0.3689
"1054",1054,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs145775785","OR",-0.05017,0.00853782,0.2261,0.1296
"1055",1055,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs148482297","OR",0.059992,0.00631804,0.0421,0.2399
"1056",1056,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs149142833","OR",0.016936,0.00276509,0.1027,0.065
"1057",1057,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs149214447","OR",0.060878,0.00800404,0.45,0.4857
"1058",1058,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1495741","OR",-0.03759,0.00238193,-0.0192,0.0551
"1059",1059,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs149719228","OR",0.056502,0.00902236,0.2235,0.2938
"1060",1060,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1508103","OR",0.042058,0.00417066,0.0905,0.1215
"1061",1061,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs151235402","OR",0.052183,0.00815144,0.1461,0.1882
"1062",1062,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1534696","OR",-0.01977,0.00199128,-0.0731,0.0486
"1063",1063,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1552781","OR",-0.03327,0.00240258,-0.036,0.0524
"1064",1064,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1556124","OR",0.013598,0.00237994,-0.0171,0.0649
"1065",1065,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1561928","OR",0.018445,0.00309914,0.0304,0.072
"1066",1066,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1567353","OR",0.01482,0.00216358,0.0615,0.0506
"1067",1067,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs157935","OR",-0.01428,0.00216916,-0.1351,0.0491
"1068",1068,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs17146641","OR",0.016111,0.00286499,0.1157,0.0745
"1069",1069,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1728407","OR",0.011681,0.00200359,0.0174,0.0486
"1070",1070,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs17326656","OR",0.017439,0.00233365,0.0672,0.0648
"1071",1071,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs174566","OR",0.048502,0.00207982,-0.0055,0.0486
"1072",1072,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs17585887","OR",-0.02858,0.00201656,-0.0861,0.0479
"1073",1073,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1760801","OR",-0.0203,0.00218442,-0.0797,0.0498
"1074",1074,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1799831","OR",0.024506,0.00273953,0.0651,0.0608
"1075",1075,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1801689","OR",-0.06613,0.00577722,0.4349,0.2426
"1076",1076,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1807542","OR",0.0293,0.00465761,0.0437,0.0998
"1077",1077,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1823227","OR",-0.01317,0.00225649,-0.029,0.059
"1078",1078,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1835346","OR",-0.03919,0.00654659,0.2703,0.1948
"1079",1079,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1840339","OR",-0.0117,0.00213807,-0.0364,0.0517
"1080",1080,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs184694823","OR",0.021101,0.00373331,0.1218,0.1063
"1081",1081,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs186696265","OR",-0.10432,0.00828522,-0.0965,0.19
"1082",1082,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1872992","OR",0.014651,0.00231211,0.0221,0.053
"1083",1083,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs187544997","OR",0.052723,0.00792251,-0.1129,0.504
"1084",1084,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs187929675","OR",-0.17115,0.00874914,-0.0923,0.2251
"1085",1085,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs188247550","OR",-0.13429,0.00913128,0.3833,0.1113
"1086",1086,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1883711","OR",0.05943,0.00581175,0.1189,0.0985
"1087",1087,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs193735","OR",0.032981,0.00529922,0.0054,0.0955
"1088",1088,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1938566","OR",-0.02121,0.00267054,0.0392,0.0567
"1089",1089,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs1997833","OR",0.014833,0.00217219,0.0896,0.0558
"1090",1090,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2017500","OR",0.011661,0.00200095,-0.0169,0.0482
"1091",1091,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2035816","OR",-0.02796,0.00358218,-0.2124,0.1393
"1092",1092,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2043085","OR",-0.0308,0.00204157,0.0029,0.0485
"1093",1093,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2060250","OR",0.011182,0.00199038,0.0521,0.0482
"1094",1094,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2068888","OR",-0.03182,0.00199589,-0.1106,0.0479
"1095",1095,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2071887","OR",0.016312,0.00209671,0.0388,0.0496
"1096",1096,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2081048","OR",-0.01396,0.00210395,0.0053,0.0509
"1097",1097,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2081687","OR",-0.02614,0.00209126,-0.0501,0.0492
"1098",1098,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2131311","OR",-0.01242,0.00222753,-0.0359,0.0535
"1099",1099,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2131919","OR",0.017351,0.00268396,0.0035,0.0622
"1100",1100,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs213209","OR",0.012413,0.00223228,0.0213,0.0536
"1101",1101,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs213494","OR",0.015611,0.00207578,0.0845,0.0533
"1102",1102,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2137557","OR",0.011762,0.00208003,-0.6046,0.0508
"1103",1103,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2165557","OR",-0.0466,0.0025421,-0.0943,0.0637
"1104",1104,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2187114","OR",-0.01852,0.00330375,-0.0143,0.0742
"1105",1105,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2237029","OR",-0.01394,0.00204019,-0.0693,0.0493
"1106",1106,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2240466","OR",-0.12277,0.00301848,0.0294,0.0721
"1107",1107,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2240533","OR",-0.01299,0.00215234,0.002,0.0524
"1108",1108,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2244278","OR",-0.02699,0.00306133,0.1187,0.0833
"1109",1109,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2267373","OR",0.021564,0.00202145,0.03,0.0487
"1110",1110,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2276853","OR",0.011126,0.00202312,0.1319,0.0491
"1111",1111,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2277083","OR",-0.0153,0.00199606,-0.055,0.0479
"1112",1112,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2278426","OR",-0.04168,0.00539441,0.0238,0.0981
"1113",1113,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2288004","OR",-0.01503,0.00204495,-0.0218,0.0491
"1114",1114,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2302104","OR",-0.01432,0.00238202,0.046,0.0544
"1115",1115,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2302364","OR",0.015642,0.00265758,0.0375,0.07
"1116",1116,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2382825","OR",-0.01348,0.00204919,-0.0454,0.054
"1117",1117,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2407278","OR",-0.03394,0.00581961,0.107,0.1084
"1118",1118,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2420477","OR",-0.01125,0.00200934,-0.0567,0.0484
"1119",1119,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2425757","OR",0.011933,0.00217069,-0.0018,0.0505
"1120",1120,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs245051","OR",-0.0121,0.00201604,0.0944,0.0497
"1121",1121,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2455821","OR",0.013492,0.0022399,0.1169,0.0555
"1122",1122,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2487294","OR",0.018319,0.00222084,-0.0369,0.0514
"1123",1123,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2517887","OR",0.014766,0.00244858,0.0624,0.0587
"1124",1124,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2519093","OR",-0.02116,0.00256189,-0.0138,0.0595
"1125",1125,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2528787","OR",-0.0114,0.00207214,-0.007,0.0513
"1126",1126,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs268","OR",0.226897,0.00739462,0.3248,0.1606
"1127",1127,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs275184","OR",-0.01735,0.00275263,-0.0365,0.0602
"1128",1128,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2761294","OR",0.018868,0.00207431,0.0468,0.05
"1129",1129,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2773469","OR",-0.01887,0.00225426,0.0863,0.055
"1130",1130,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs278981","OR",0.012587,0.00229058,0.0195,0.0572
"1131",1131,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2800713","OR",0.031299,0.00442594,0.3839,0.0883
"1132",1132,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2812208","OR",-0.04843,0.00696323,-0.1382,0.1621
"1133",1133,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs28383314","OR",0.037901,0.00204671,0.132,0.057
"1134",1134,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs28399607","OR",0.033481,0.00450317,-0.1258,0.1166
"1135",1135,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs28481932","OR",0.021732,0.00295687,-0.0544,0.0747
"1136",1136,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs28546518","OR",-0.02507,0.00300879,-0.0314,0.0613
"1137",1137,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs28577186","OR",-0.01634,0.00211672,-0.0545,0.0501
"1138",1138,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs28624578","OR",0.015002,0.00265112,0.085,0.0636
"1139",1139,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs28732146","OR",0.026211,0.0024965,-0.021,0.0626
"1140",1140,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs28752924","OR",0.026556,0.00205701,0.01,0.0544
"1141",1141,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs28873097","OR",0.011114,0.0019917,0.0568,0.048
"1142",1142,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2917677","OR",-0.01899,0.00202531,-0.0535,0.0483
"1143",1143,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2925979","OR",-0.03221,0.00217095,0.0338,0.0512
"1144",1144,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs293561","OR",0.011759,0.00208498,0.074,0.0481
"1145",1145,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2943645","OR",0.040292,0.00207151,0.0363,0.0498
"1146",1146,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2954011","OR",-0.0147,0.00198458,-0.0845,0.0482
"1147",1147,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs296360","OR",-0.01768,0.00267997,-0.042,0.0629
"1148",1148,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2975424","OR",0.017357,0.00253562,-0.0181,0.066
"1149",1149,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs2983896","OR",0.013791,0.00242177,-0.0285,0.061
"1150",1150,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs308","OR",-0.15941,0.00698442,0.0354,0.1397
"1151",1151,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs3092744","OR",-0.01429,0.00237015,-0.0567,0.0556
"1152",1152,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs3097858","OR",0.019861,0.00338015,0.0529,0.0778
"1153",1153,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs3103310","OR",0.020255,0.00236652,-0.0298,0.0642
"1154",1154,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs320369","OR",-0.01253,0.00214567,0.0109,0.0497
"1155",1155,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs325485","OR",-0.01174,0.00204042,-0.0561,0.0504
"1156",1156,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs326222","OR",0.02522,0.00215698,0.0284,0.0509
"1157",1157,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs3289","OR",0.154168,0.00606855,-0.1494,0.1752
"1158",1158,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs34144542","OR",-0.03877,0.00379278,-0.0108,0.1003
"1159",1159,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs34196215","OR",-0.01837,0.00292716,0.0281,0.074
"1160",1160,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs34234296","OR",-0.01142,0.00205259,-0.0282,0.0521
"1161",1161,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs343","OR",-0.14149,0.00361052,-0.1618,0.0984
"1162",1162,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs34580448","OR",-0.03406,0.00500944,0.0588,0.1821
"1163",1163,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs34893217","OR",-0.01817,0.00322082,-0.0686,0.0793
"1164",1164,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs350859","OR",0.012456,0.00218434,-0.6046,0.0514
"1165",1165,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs35104374","OR",-0.01558,0.00224523,-0.0753,0.057
"1166",1166,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs35169799","OR",0.055633,0.00405892,0.0894,0.0826
"1167",1167,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs35200015","OR",0.017419,0.00253999,-0.0166,0.0539
"1168",1168,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs35477346","OR",0.013533,0.00216858,-0.0184,0.0519
"1169",1169,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs35502362","OR",-0.01489,0.00208806,0.0602,0.0547
"1170",1170,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs35763453","OR",0.02845,0.00435137,0.0671,0.1264
"1171",1171,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs35859536","OR",-0.01433,0.00213889,3e-04,0.0495
"1172",1172,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs36043408","OR",-0.01281,0.00198554,-0.0121,0.0481
"1173",1173,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs36061954","OR",0.011719,0.00201836,0.0317,0.049
"1174",1174,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs3731696","OR",0.021894,0.00303176,0.0208,0.073
"1175",1175,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs3738182","OR",0.015142,0.00250405,-0.1768,0.0561
"1176",1176,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs3758413","OR",0.011123,0.00201767,-0.0266,0.0487
"1177",1177,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs3775228","OR",0.03382,0.00203602,-0.0663,0.049
"1178",1178,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs377742228","OR",-0.02475,0.00361255,0.0805,0.1022
"1179",1179,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs3784310","OR",-0.01304,0.00222662,-0.1113,0.0514
"1180",1180,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs3794695","OR",0.027882,0.00253733,-0.019,0.0605
"1181",1181,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs3808477","OR",-0.01339,0.00220342,0.019,0.0518
"1182",1182,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs3814883","OR",0.014893,0.00199657,-0.0177,0.0485
"1183",1183,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs3815505","OR",-0.01591,0.00214925,-0.0616,0.0549
"1184",1184,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs38189","OR",-0.01532,0.0020629,0.027,0.0505
"1185",1185,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs3820897","OR",0.019727,0.00260304,-0.1937,0.0506
"1186",1186,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs3826043","OR",-0.01221,0.00202487,-0.0586,0.0486
"1187",1187,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs3829126","OR",0.023053,0.00342538,-0.1092,0.0996
"1188",1188,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs3936511","OR",0.046127,0.00252163,-0.0366,0.0699
"1189",1189,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs394872","OR",0.011181,0.00200285,-0.0522,0.0483
"1190",1190,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs3974807","OR",0.015978,0.00253125,0.0444,0.0695
"1191",1191,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs40270","OR",0.035657,0.0023655,0.0333,0.0525
"1192",1192,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4128205","OR",0.011501,0.00199472,0.0033,0.0487
"1193",1193,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs41292412","OR",0.062564,0.00928767,0.3003,0.2469
"1194",1194,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4134963","OR",-0.01895,0.00254235,-0.0603,0.0612
"1195",1195,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs41785","OR",-0.01504,0.00201492,-0.0257,0.0489
"1196",1196,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4382584","OR",0.012943,0.00223541,0.0012,0.0548
"1197",1197,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4387830","OR",0.026943,0.00325469,0.0014,0.0888
"1198",1198,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4391855","OR",0.059373,0.00514323,0.1477,0.1426
"1199",1199,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4445477","OR",-0.0156,0.00229364,-0.0753,0.0593
"1200",1200,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4471666","OR",-0.02246,0.00396699,-0.0768,0.0863
"1201",1201,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4559942","OR",0.013555,0.00237213,-0.0134,0.0628
"1202",1202,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4564007","OR",-0.01231,0.00213163,-0.0129,0.0519
"1203",1203,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4662414","OR",-0.01206,0.0019918,0.0057,0.0489
"1204",1204,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4665972","OR",-0.10025,0.00203577,-0.0657,0.0494
"1205",1205,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4675812","OR",-0.01423,0.00201176,-0.074,0.0492
"1206",1206,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4699983","OR",-0.01333,0.00201466,0.0143,0.0479
"1207",1207,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4709746","OR",-0.01912,0.00293248,-0.1425,0.0873
"1208",1208,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4714001","OR",0.012344,0.00206286,0.0395,0.0504
"1209",1209,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4731701","OR",-0.03258,0.00198921,-0.0692,0.048
"1210",1210,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4760254","OR",-0.02814,0.00232488,-0.0712,0.0565
"1211",1211,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4761234","OR",-0.01402,0.00199376,0.037,0.0487
"1212",1212,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4776793","OR",0.015415,0.00207952,-0.0648,0.0509
"1213",1213,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs478420","OR",0.012795,0.00205182,0.0102,0.05
"1214",1214,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4793090","OR",-0.01442,0.00209638,0.0371,0.0503
"1215",1215,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4803449","OR",-0.01177,0.00207533,0.075,0.0499
"1216",1216,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4804368","OR",-0.01408,0.0020554,-0.0229,0.0529
"1217",1217,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4804833","OR",-0.01607,0.00203604,-0.005,0.0493
"1218",1218,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs480823","OR",0.15572,0.00371974,0.0746,0.0658
"1219",1219,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs483082","OR",0.086212,0.00234474,-0.1747,0.0567
"1220",1220,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4846857","OR",-0.02269,0.00284763,-0.0492,0.0558
"1221",1221,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4909945","OR",0.013411,0.00214205,-0.0036,0.0508
"1222",1222,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4938277","OR",0.018269,0.00222668,-0.0187,0.0517
"1223",1223,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4969179","OR",-0.01775,0.00203649,0.012,0.0524
"1224",1224,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs4976033","OR",0.017791,0.00205178,0.0391,0.0487
"1225",1225,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs498475","OR",-0.01171,0.00206676,-0.0461,0.0502
"1226",1226,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs499293","OR",-0.01179,0.00208902,-0.0289,0.0496
"1227",1227,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs534417","OR",0.01956,0.0029936,0.0698,0.0752
"1228",1228,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs536338","OR",0.014076,0.00222866,0.126,0.0563
"1229",1229,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs540658636","OR",0.032977,0.00528208,0.0125,0.0899
"1230",1230,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs55646464","OR",0.012191,0.00217016,0.0329,0.0486
"1231",1231,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs55692143","OR",0.016815,0.00305383,0.0419,0.0722
"1232",1232,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs55697600","OR",0.068146,0.00515987,0.0792,0.1303
"1233",1233,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs55802560","OR",-0.02082,0.00328673,-0.062,0.0788
"1234",1234,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs55837381","OR",-0.01319,0.00229618,0.0135,0.0625
"1235",1235,"Xie et al","@xie_associations_2023","NAs imputed - min values","T2DM","NAFLD","rs55951611","OR",-0.03852,0.00479499,0.0292,0.1336
